i,val_rmse,val_r2,train_rmse,gap,model__l2_regularization,model__learning_rate,model__max_bins,model__max_depth,model__max_iter,model__max_leaf_nodes,model__min_samples_leaf
556,0.21016524150956464,0.21733218563753198,0.18016080187918193,0.030004439630382712,0.0,0.05,255,3.0,400,63,10
550,0.21016524150956464,0.21733218563753198,0.18016080187918193,0.030004439630382712,0.0,0.05,255,3.0,400,15,10
559,0.21016524150956464,0.21733218563753198,0.18016080187918193,0.030004439630382712,0.0,0.05,255,3.0,800,15,10
1203,0.2102291873883163,0.21685583669628838,0.19153793189634769,0.018691255491968622,0.1,0.03,255,3.0,400,31,50
1209,0.2102291873883163,0.21685583669628838,0.19153793189634769,0.018691255491968622,0.1,0.03,255,3.0,800,15,50
1206,0.2102291873883163,0.21685583669628838,0.19153793189634769,0.018691255491968622,0.1,0.03,255,3.0,400,63,50
1200,0.2102291873883163,0.21685583669628838,0.19153793189634769,0.018691255491968622,0.1,0.03,255,3.0,400,15,50
1215,0.2102291873883163,0.21685583669628838,0.19153793189634769,0.018691255491968622,0.1,0.03,255,3.0,800,63,50
1212,0.2102291873883163,0.21685583669628838,0.19153793189634769,0.018691255491968622,0.1,0.03,255,3.0,800,31,50
1192,0.21029635175376102,0.21635535639950587,0.1990655116738868,0.01123084007987421,0.1,0.03,255,3.0,200,31,10
1195,0.21029635175376102,0.21635535639950587,0.1990655116738868,0.01123084007987421,0.1,0.03,255,3.0,200,63,10
1189,0.21029635175376102,0.21635535639950587,0.1990655116738868,0.01123084007987421,0.1,0.03,255,3.0,200,15,10
1949,0.21046168652431788,0.21512267083276082,0.1995548819893245,0.010906804534993375,1.0,0.03,128,3.0,200,31,20
1952,0.21046168652431788,0.21512267083276082,0.1995548819893245,0.010906804534993375,1.0,0.03,128,3.0,200,63,20
1946,0.21046168652431788,0.21512267083276082,0.1995548819893245,0.010906804534993375,1.0,0.03,128,3.0,200,15,20
2165,0.21055420784898593,0.21443243734450312,0.19196058124721094,0.018593626601774993,1.0,0.05,128,3.0,200,31,20
2168,0.21055420784898593,0.21443243734450312,0.19196058124721094,0.018593626601774993,1.0,0.05,128,3.0,200,63,20
2162,0.21055420784898593,0.21443243734450312,0.19196058124721094,0.018593626601774993,1.0,0.05,128,3.0,200,15,20
330,0.21068700830037912,0.21344118072281737,0.1997186904928444,0.010968317807534711,0.0,0.03,255,3.0,200,31,50
333,0.21068700830037912,0.21344118072281737,0.1997186904928444,0.010968317807534711,0.0,0.03,255,3.0,200,63,50
327,0.21068700830037912,0.21344118072281737,0.1997186904928444,0.010968317807534711,0.0,0.03,255,3.0,200,15,50
130,0.21071288541039715,0.2132479545792304,0.19546486820529935,0.015248017205097802,0.0,0.01,255,3.0,800,31,10
127,0.21071288541039715,0.2132479545792304,0.19546486820529935,0.015248017205097802,0.0,0.01,255,3.0,800,15,10
133,0.21071288541039715,0.2132479545792304,0.19546486820529935,0.015248017205097802,0.0,0.01,255,3.0,800,63,10
2384,0.21081428800867405,0.21249054577021265,0.18867684674748325,0.0221374412611908,1.0,0.1,128,3.0,200,63,20
2378,0.21081428800867405,0.21249054577021265,0.18867684674748325,0.0221374412611908,1.0,0.1,128,3.0,200,15,20
2381,0.21081428800867405,0.21249054577021265,0.18867684674748325,0.0221374412611908,1.0,0.1,128,3.0,200,31,20
2402,0.21081428800867405,0.21249054577021265,0.18867684674748325,0.0221374412611908,1.0,0.1,128,3.0,800,63,20
2399,0.21081428800867405,0.21249054577021265,0.18867684674748325,0.0221374412611908,1.0,0.1,128,3.0,800,31,20
2396,0.21081428800867405,0.21249054577021265,0.18867684674748325,0.0221374412611908,1.0,0.1,128,3.0,800,15,20
2390,0.21081428800867405,0.21249054577021265,0.18867684674748325,0.0221374412611908,1.0,0.1,128,3.0,400,31,20
2387,0.21081428800867405,0.21249054577021265,0.18867684674748325,0.0221374412611908,1.0,0.1,128,3.0,400,15,20
2393,0.21081428800867405,0.21249054577021265,0.18867684674748325,0.0221374412611908,1.0,0.1,128,3.0,400,63,20
1956,0.2108545339371911,0.21218983489516563,0.19172374603025905,0.019130787906932067,1.0,0.03,128,3.0,400,15,50
1968,0.2108545339371911,0.21218983489516563,0.19172374603025905,0.019130787906932067,1.0,0.03,128,3.0,800,31,50
1965,0.2108545339371911,0.21218983489516563,0.19172374603025905,0.019130787906932067,1.0,0.03,128,3.0,800,15,50
1959,0.2108545339371911,0.21218983489516563,0.19172374603025905,0.019130787906932067,1.0,0.03,128,3.0,400,31,50
1962,0.2108545339371911,0.21218983489516563,0.19172374603025905,0.019130787906932067,1.0,0.03,128,3.0,400,63,50
1971,0.2108545339371911,0.21218983489516563,0.19172374603025905,0.019130787906932067,1.0,0.03,128,3.0,800,63,50
