i,val_rmse,val_r2,train_rmse,train_r2,gap_rmse,model__l2_regularization,model__learning_rate,model__max_bins,model__max_depth,model__max_iter,model__max_leaf_nodes,model__min_samples_leaf
1384,0.17142770150436587,0.47926388740350434,0.06511790973607445,0.9242387227347807,0.10630979176829142,0.1,0.05,128,,200,63,10
1979,0.17157211594891078,0.47838615887279146,0.13097935826522847,0.6934847395245543,0.04059275768368231,1.0,0.03,128,5.0,200,63,20
1019,0.17157727361081737,0.478354797736276,0.13875390802370804,0.6560171163283812,0.03282336558710933,0.1,0.01,255,5.0,800,15,20
2414,0.17161900816851514,0.4781009962964452,0.12320587178396562,0.7287878152355163,0.04841313638454951,1.0,0.1,128,5.0,400,15,20
2423,0.17161900816851514,0.4781009962964452,0.12320587178396562,0.7287878152355163,0.04841313638454951,1.0,0.1,128,5.0,800,15,20
2405,0.17161900816851514,0.4781009962964452,0.12320587178396562,0.7287878152355163,0.04841313638454951,1.0,0.1,128,5.0,200,15,20
861,0.17208097854339716,0.47528748065582294,0.09400267478368672,0.8421201126851086,0.07807830375971044,0.0,0.1,255,,800,31,50
852,0.17208097854339716,0.47528748065582294,0.09400267478368672,0.8421201126851086,0.07807830375971044,0.0,0.1,255,,400,31,50
843,0.17208097854339716,0.47528748065582294,0.09400267478368672,0.8421201126851086,0.07807830375971044,0.0,0.1,255,,200,31,50
1260,0.17214526393528243,0.47489536700285784,0.10528485587526651,0.8019484712732365,0.06686040806001592,0.1,0.03,255,7.0,400,63,50
1269,0.17214526393528243,0.47489536700285784,0.10528485587526651,0.8019484712732365,0.06686040806001592,0.1,0.03,255,7.0,800,63,50
414,0.17220105062537674,0.4745549731360619,0.08694305546421474,0.8649432849156773,0.085257995161162,0.0,0.03,255,,200,63,50
1251,0.1722683614088901,0.4741441158415963,0.1072815447875452,0.7943652904821294,0.0649868166213449,0.1,0.03,255,7.0,200,63,50
792,0.1723427976456555,0.4736895786362708,0.12266253634840657,0.7311746213651974,0.04968026129724892,0.0,0.1,255,5.0,200,63,50
810,0.1723427976456555,0.4736895786362708,0.12266253634840657,0.7311746213651974,0.04968026129724892,0.0,0.1,255,5.0,800,63,50
801,0.1723427976456555,0.4736895786362708,0.12266253634840657,0.7311746213651974,0.04968026129724892,0.0,0.1,255,5.0,400,63,50
798,0.1723427976456555,0.4736895786362708,0.12266253634840657,0.7311746213651974,0.04968026129724892,0.0,0.1,255,5.0,400,31,50
789,0.1723427976456555,0.4736895786362708,0.12266253634840657,0.7311746213651974,0.04968026129724892,0.0,0.1,255,5.0,200,31,50
807,0.1723427976456555,0.4736895786362708,0.12266253634840657,0.7311746213651974,0.04968026129724892,0.0,0.1,255,5.0,800,31,50
1808,0.17236305390294457,0.47356585190120515,0.09245803533954224,0.8472660067306396,0.07990501856340233,1.0,0.01,128,7.0,800,63,20
832,0.1727338105128307,0.4712986739568926,0.09035754949756203,0.854126879406939,0.08237626101526868,0.0,0.1,255,7.0,800,31,10
814,0.1727338105128307,0.4712986739568926,0.09035754949756203,0.854126879406939,0.08237626101526868,0.0,0.1,255,7.0,200,31,10
823,0.1727338105128307,0.4712986739568926,0.09035754949756203,0.854126879406939,0.08237626101526868,0.0,0.1,255,7.0,400,31,10
2026,0.17274645333807698,0.4712212771453196,0.14449999393034438,0.6269371164165987,0.0282464594077326,1.0,0.03,128,,200,15,10
853,0.17279294700349682,0.47093660363706646,0.05981072799074827,0.9360847396848896,0.11298221901274855,0.0,0.1,255,,400,63,10
862,0.17279294700349682,0.47093660363706646,0.05981072799074827,0.9360847396848896,0.11298221901274855,0.0,0.1,255,,800,63,10
844,0.17279294700349682,0.47093660363706646,0.05981072799074827,0.9360847396848896,0.11298221901274855,0.0,0.1,255,,200,63,10
304,0.17287681144544478,0.47042292093674765,0.0808177636336012,0.8833029057505402,0.09205904781184358,0.0,0.03,128,,200,63,10
249,0.1730082759331472,0.4696171789709609,0.13764524884251447,0.6614920789293791,0.035363027090632715,0.0,0.03,128,5.0,200,31,50
252,0.1730082759331472,0.4696171789709609,0.13764524884251447,0.6614920789293791,0.035363027090632715,0.0,0.03,128,5.0,200,63,50
521,0.17327188088425055,0.46799970663752954,0.0647804783441792,0.9250218559250811,0.10849140254007135,0.0,0.05,128,,200,63,20
2231,0.1733227090287667,0.4676875434204718,0.0878155923144464,0.8622188976698262,0.0855071167143203,1.0,0.05,128,7.0,400,63,20
2240,0.1733227090287667,0.4676875434204718,0.0878155923144464,0.8622188976698262,0.0855071167143203,1.0,0.05,128,7.0,800,63,20
2222,0.1733227090287667,0.4676875434204718,0.0878155923144464,0.8622188976698262,0.0855071167143203,1.0,0.05,128,7.0,200,63,20
1276,0.17339134896573247,0.4672658430142156,0.0802473861516846,0.8849442902863888,0.09314396281404787,0.1,0.03,255,,200,63,10
2110,0.17360136314873792,0.4659745503884426,0.11847092122919928,0.7492332703612835,0.05513044191953864,1.0,0.03,255,7.0,200,31,10
503,0.1736832943836958,0.4654703643785971,0.07855953533370343,0.8897333457912759,0.09512375904999239,0.0,0.05,128,7.0,400,63,20
512,0.1736832943836958,0.4654703643785971,0.07855953533370343,0.8897333457912759,0.09512375904999239,0.0,0.05,128,7.0,800,63,20
494,0.17369574357243195,0.4653937341093458,0.08053083931678409,0.8841300456117704,0.09316490425564786,0.0,0.05,128,7.0,200,63,20
1109,0.17397392392023495,0.4636799782986746,0.14705721533890925,0.6136160651018052,0.026916708581325693,0.1,0.03,128,5.0,200,15,20
1441,0.17419069406958756,0.4623426445538241,0.13165718560529882,0.6903040548094961,0.042533508464288744,0.1,0.05,255,5.0,400,15,10
1450,0.17419069406958756,0.4623426445538241,0.13165718560529882,0.6903040548094961,0.042533508464288744,0.1,0.05,255,5.0,800,15,10
2112,0.17419862780163228,0.46229366689110263,0.12281108915109716,0.7305230948845238,0.05138753865053512,1.0,0.03,255,7.0,200,31,50
1600,0.1742207231910906,0.462157252678457,0.05661729757046242,0.9427276956815296,0.1176034256206282,0.1,0.1,128,,200,63,10
1609,0.1742207231910906,0.462157252678457,0.05661729757046242,0.9427276956815296,0.1176034256206282,0.1,0.1,128,,400,63,10
1618,0.1742207231910906,0.462157252678457,0.05661729757046242,0.9427276956815296,0.1176034256206282,0.1,0.1,128,,800,63,10
1432,0.17423998699739043,0.46203830619352426,0.13278282660020438,0.6849857471783303,0.041457160397186055,0.1,0.05,255,5.0,200,15,10
1613,0.17427332189766612,0.4618324451262723,0.13576115120638696,0.6706956944185748,0.03851217069127916,0.1,0.1,128,,800,15,20
1604,0.17427332189766612,0.4618324451262723,0.13576115120638696,0.6706956944185748,0.03851217069127916,0.1,0.1,128,,400,15,20
